cid,isosmiles
5490796,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2.CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.OP(=O)(O)O
5492506,CCCC(C)(COC(=O)N)COC(=O)N.CC1=C(C(=O)N(N1C)C2=CC=CC=C2)N(C)C.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2.C1=CC(=CN=C1)C(=O)O.OP(=O)(O)O.Cl
5492635,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2.CCOC1=CC=C(C=C1)NC(=O)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.OP(=O)(O)O
5748307,CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
6441964,CCOC1=CC=C(C=C1)NC(=O)C.CC(C(C1=CC=CC=C1)O)N(C)C/C=C/C2=CC=CC=C2.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.Cl
6453785,CC(=O)OC1=CC=CC=C1C(=O)O.[OH-].[OH-].[OH-].[OH-].[OH-].[Mg+2].[Al+3]
9818919,CC(=O)OC1=CC=CC=C1C(=O)OC2=CC=C(C=C2)CO[N+](=O)[O-]
9841438,CCCCC[C@H](/C=C/C=C\\C=C\\C=C\\[C@H]([C@H](CCCC(=O)O)O)O)O
9863414,CC(=O)OC1=CC=CC=C1C(=O)O.C(CC(C(=O)O)N)CN=C(N)N
9864979,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O.CC(=O)OC1=CC=CC=C1C(=O)O
9871508,CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
9905405,CC(=O)OC1=CC=CC=C1C(=O)O.C(CCN)CC(C(=O)O)N
9935793,CC(=O)OC1=CC=CC=C1C(=O)O.COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3
9938610,CC(=O)OC1=CC=CC=C1C(=O)O.COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.OS(=O)(=O)O
11508774,CC/C=C\\C[C@H](/C=C/C=C\\C/C=C\\C/C=C\\C=C\\[C@H](CCC(=O)O)O)O
11979873,CC(=O)OC1=CC=CC=C1C(=O)O.C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.C[C@@]1(C(=O)N2[C@H](C(=O)N3CCC[C@H]3[C@@]2(O1)O)CC4=CC=CC=C4)NC(=O)[C@@H]5C[C@H]6[C@@H](CC7=CNC8=CC=CC6=C78)N(C5)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O
11980079,CCOC1=CC=C(C=C1)NC(=O)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3[C@H](C=C4)O.CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=CC=C1C(=O)O)C(=O)O.Cl
12280114,[2H]C([2H])([2H])C(=O)OC1=CC=CC=C1C(=O)O
15280939,CC(=O)OC1=CC=CC=C1C(=O)OC(=O)C(F)(F)F
16061135,CC/C=C\\C[C@@H](/C=C/C=C\\C=C\\C=C\\C([C@H](C/C=C\\CCC(=O)O)O)O)O
16099592,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC.CC(=O)OC1=CC=CC=C1C(=O)O
16126783,CC/C=C\\C[C@H](/C=C/C=C\\C=C\\C=C\\[C@H]([C@H](C/C=C\\CCC(=O)O)O)O)O
18522803,CC(=O)OC1=CC=CC=C1C(=O)O.C1=CC=C(C=C1)C2=CC=CC=C2
20056736,CC1=CC(=O)N(N1C)C2=CC=CC=C2.CC(=O)OC1=CC=CC=C1C(=O)O
23452462,CC(=O)OC1=CC=CC=C1C(=O)O.CC(=O)OC1=CC=CC=C1C(=O)O
23666729,CC(=O)OC1=CC=CC=C1C(=O)[O-].[Na+]
23676700,CC(=O)OC1=CC=CC=C1C(=O)[O-].[K+]
24847791,CCCC(C)(COC(=O)N)COC(=O)NC(C)C.CC(=O)OC1=CC=CC=C1C(=O)O
24847798,CC(=O)NC1=CC=C(C=C1)O.CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.OP(=O)(O)O
24847819,CC(=O)OC1=CC=CC=C1C(=O)O.COC1=CC=CC=C1OCC(COC(=O)N)O
24847961,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
24847966,CCCC(C)(COC(=O)N)COC(=O)N.CC(=O)OC1=CC=CC=C1C(=O)O
24936226,CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3C(=O)CC4
25157143,CC(=O)OC1=CC=CC=C1C(=O)OC2=C(C=C(C=C2)CC=C)OC
35028735,CC/C=C\\C[C@@H](/C=C/C=C/C=C\\C=C/[C@H]([C@H](C/C=C\\CCC(=O)O)O)O)O
44144595,C[C@H]([C@H](C1=CC=CC=C1)O)N.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2.C(=C/C(=O)O)\\C(=O)O.Cl
44149172,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl.CC(=O)OC1=CC=CC=C1C(=O)O.Cl
44153517,CC(=O)OC1=CC=CC=C1C(=O)O.C1=CC=C(C(=C1)C(=O)O)O
44251266,CC/C=C\\C[C@@H](/C=C/C=C\\C=C\\C=C\\[C@H]([C@H](C/C=C\\CCC(=O)O)O)O)O
46186934,CC(=O)OC1=CC=CC=C1C(=O)O.C(CC(C(F)F)(C(=O)O)N)CN
51404094,CCCCC[C@H](/C=C/C=C\\C/C=C\\C/C=C\\CCCC(=O)[O-])O
53394122,CCC=CCC(C=CC=CC=CC=CC(C(CC=CCCC(=O)O)O)O)O
54681542,CC(=O)OC1=CC=CC=C1C(=O)O.C([C@@H](C1C(=C(C(=O)O1)O)O)O)O
56841578,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
56841579,CCC(=O)O[C@](CC1=CC=CC=C1)(C2=CC=CC=C2)[C@H](C)CN(C)C.CCOC1=CC=C(C=C1)NC(=O)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
56841602,CCCC(C)(COC(=O)N)COC(=O)NC(C)C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O
56842252,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C.CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
56843206,CCC1(C(=O)NC(=O)NC1=O)C2=CC=CC=C2.CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](C=C4)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
57384021,C1=CC=C(C(=C1)C(=O)OC2=CC=C(C=C2)C3=CC(=S)SS3)OC(=O)CCCO[N+](=O)[O-]
62705023,CC(C1=NC(=NC(=C1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])C2=CC=C(C=C2)F)N(S(=O)(=O)C)C)C.CC(C1=NC(=NC(=C1/C=C/[C@@H](O)C[C@@H](O)CC(=O)[O-])C2=CC=C(C=C2)F)N(S(=O)(=O)C)C)C.CC(=O)OC1=CC=CC=C1C(=O)O.[Ca+2]
67463240,CC(=O)OC1=CC=CC=C1C(=O)O.Cl
67546490,CC(=O)OC1=CC=CC=C1C(=O)O.C1=CN=CC=C1C2=CC=NC=C2
69725476,CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)OC)O4)O
69975280,CC(=O)OC1=CC=CC=C1C(=O)O.CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](CC4)O.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
71440282,CC(C)C1=C(N(N(C1=O)C2=CC=CC=C2)C)CNC(=O)C3=CC=CC=C3CC(=O)[O-]
71508666,CC/C=C\\C[C@H](/C=C\\C=C\\C=C\\[C@@H](C/C=C\\C/C=C\\CCC(=O)O)O)O
71586755,CC(=O)OC1=CC=CC=C1C(=O)O.COC1=CC2=C(C=CN=C2C=C1)[C@H]([C@@H]3C[C@@H]4CCN3C[C@@H]4C=C)O
71593881,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O.CC(=O)OC1=CC=CC=C1C(=O)O
72204622,CC/C=C\\C[C@H]([C@@H](/C=C/C=C/C=C\\C=C\\[C@@H](C/C=C\\CCC(=O)O)O)O)O
